date,question_no,place_name,reading,caption_instagram,caption_x,caption_threads,feed_image,reel_video,story_image
YYYY-MM-DD,1,千両町,ちぎりちょう,"豊川市の難読地名クイズ 第1問🗾

「千両町」、なんと読む？

初見でこれを読めたら、かなりの豊川通👏
答えと解説はプロフィールのリンクから！全10問あります。

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #地元民 #豊川稲荷","【豊川市の難読地名クイズ①】

この地名、なんと読む？

「千両町」

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第1問】

「千両町」、なんと読むでしょう？

「せんりょうちょう」と読みたくなるのは当然ですが…正解は意外な読み方です。

答えはプロフィールのリンクから読めます！全10問チャレンジしてみてください🗾

#豊川市 #難読地名 #豊川ガイド",feed/quiz_01.png,reel/quiz_01.mp4,story/quiz_01.png
YYYY-MM-DD,2,国府町,こうちょう,"豊川市の難読地名クイズ 第2問🗾

「国府町」、なんと読む？

これを「こくふちょう」と読んだ瞬間、地元民には「豊川の人じゃないな」とバレるらしい😅

答えと全10問の解説はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #国府 #地元あるある","【豊川市の難読地名クイズ②】

「国府町」、なんと読む？

「こくふちょう」と読んだら…地元民にバレます😅

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第2問】

「国府町」、なんと読むでしょう？

実はこの読み方、豊川に来たばかりの人はほぼ読めません。これを「こくふ」と読んだ瞬間、地元民には一発でわかるらしい😂

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_02.png,reel/quiz_02.mp4,story/quiz_02.png
YYYY-MM-DD,3,土筒町,どどうちょう,"豊川市の難読地名クイズ 第3問🗾

「土筒町」、なんと読む？

「つちつつ？」と思いきや…一度聞いたら絶対忘れない、インパクト大の読み方です😳

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #難読漢字","【豊川市の難読地名クイズ③】

「土筒町」、なんと読む？

「つちつつ？」ではありません笑

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第3問】

「土筒町」、なんと読むでしょう？

漢字から読み方を想像するのがとにかく難しい…一度聞けば忘れないインパクトのある読み方です。

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_03.png,reel/quiz_03.mp4,story/quiz_03.png
YYYY-MM-DD,4,蔵子,ぞうし,"豊川市の難読地名クイズ 第4問🗾

「蔵子」、なんと読む？

「くらこ」でも「くらし」でもない、意外な読み方。この答えを覚えてから第5問に挑戦してみてください👀

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #難読漢字","【豊川市の難読地名クイズ④】

「蔵子」、なんと読む？

「くらこ」でも「くらし」でもありません。
次の問題と合わせると、さらにおもしろいことに🤔

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第4問】

「蔵子」、なんと読むでしょう？

この答えを覚えておくと、次の問題がさらにおもしろくなります。セットで覚えてほしい難読地名です。

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_04.png,reel/quiz_04.mp4,story/quiz_04.png
YYYY-MM-DD,5,三蔵子町,さんぞうごちょう,"豊川市の難読地名クイズ 第5問🗾

「三蔵子町」、なんと読む？

第4問で覚えた読み方をそのまま使うと…引っかかります😏同じ「蔵子」なのに読み方が変わる、豊川市の二段構えクイズ！

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #三蔵子","【豊川市の難読地名クイズ⑤】

「三蔵子町」、なんと読む？

前の問題で覚えた読み方、そのまま使えると思った？😏

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第5問】

「三蔵子町」、なんと読むでしょう？

同じ「蔵子」という字が使われているのに、前の問題とは読み方が変わる豊川市の二段構え難読地名。読めた人はすごい👏

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_05.png,reel/quiz_05.mp4,story/quiz_05.png
YYYY-MM-DD,6,御津町,みとちょう,"豊川市の難読地名クイズ 第6問🗾

「御津町」、なんと読む？

「おんつちょう」？「みつちょう」？実は、どちらも不正解です。

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #御津町 #みとちょう","【豊川市の難読地名クイズ⑥】

「御津町」、なんと読む？

「おんつ」でも「みつ」でもありません。

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第6問】

「御津町」、なんと読むでしょう？

旧・御津町として豊川市に合併される前から地域に親しまれてきた地名です。地元民には当たり前の読み方。

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド #御津",feed/quiz_06.png,reel/quiz_06.mp4,story/quiz_06.png
YYYY-MM-DD,7,新青馬町,しんあおうまちょう,"豊川市の難読地名クイズ 第7問🗾

「新青馬町」、なんと読む？

声に出してゆっくり読むとわかるかも。「しん・あお・〇・ま・ちょう」👀

豊川市民でも間違えて覚えていることがある上級者向け問題！答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #難読漢字","【豊川市の難読地名クイズ⑦】

「新青馬町」、なんと読む？

豊川市民でも間違えて覚えている人がいる、上級者向けの一問。

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第7問】

「新青馬町」、なんと読むでしょう？

「しんあおまちょう」ではありません。よく見ると、中に隠れた文字があります。豊川市民でも間違えて覚えていることがある、上級者向けの難読地名。

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_07.png,reel/quiz_07.mp4,story/quiz_07.png
YYYY-MM-DD,8,宿町,しゅくちょう,"豊川市の難読地名クイズ 第8問🗾

「宿町」、なんと読む？

「やどちょう」と読みたくなるけど…昔の宿場町の歴史が名前に残っている地名です🏯

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #宿場町 #歴史","【豊川市の難読地名クイズ⑧】

「宿町」、なんと読む？

「やどちょう」ではありません。
由来を知ると「なるほど」となる一問。

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第8問】

「宿町」、なんと読むでしょう？

昔の宿場町に由来する読み方で、全国各地にある地名の形。由来を知ると読み方の意味がわかります。

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_08.png,reel/quiz_08.mp4,story/quiz_08.png
YYYY-MM-DD,9,院之子町,いんのこちょう,"豊川市の難読地名クイズ 第9問🗾

「院之子町」、なんと読む？

この「之」という字がポイント。読めたらかなりの漢字力の持ち主です👏豊川市の中でも知名度低めな難読地名のひとつ。

答えと全10問はプロフィールのリンクから！

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #難読漢字 #漢字","【豊川市の難読地名クイズ⑨】

「院之子町」、なんと読む？

「之」の字が難しさに拍車をかけています。読めたら漢字力の証明です。

↓答えはプロフィールのリンクから

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第9問】

「院之子町」、なんと読むでしょう？

知名度が低めな難読地名のひとつ。「之」という字が読み方をさらに難しくしています。読めた人はかなりの漢字力の持ち主👏

答えはプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド",feed/quiz_09.png,reel/quiz_09.mp4,story/quiz_09.png
YYYY-MM-DD,10,柑子町,こうじちょう,"豊川市の難読地名クイズ 第10問・最終問題🗾

「柑子町」、なんと読む？

「かんこ？」「みかん？」…正解は柑橘類の古い呼び名から来ています🍊現代ではほぼ使われない言葉なので、読めたらかなりの博識！

全10問の答えと解説はプロフィールのリンクから！あなたは何問正解できた？

#豊川市 #難読地名 #豊川 #愛知県 #地名クイズ #豊川ガイド #難読漢字 #柑子町","【豊川市の難読地名クイズ⑩】

「柑子町」、なんと読む？

「柑子」、現代ではほぼ使われない言葉です。
読めたらかなりの博識👏

全10問の答えと解説はプロフィールのリンクから！

#豊川市 #難読地名 #豊川ガイド","【豊川市の難読地名クイズ 第10問・最終問題】

「柑子町」、なんと読むでしょう？

「柑子（こうじ）」とは柑橘類の古い呼び名。現代ではほぼ使われない言葉なので、読めたらかなりの博識です。

全10問の答えと解説はプロフィールのリンクから！あなたは何問正解できましたか？

#豊川市 #難読地名 #豊川ガイド",feed/quiz_10.png,reel/quiz_10.mp4,story/quiz_10.png
