豊川ガイド占い｜今日のラッキー生まれ年 グループ表,,,,,,,,,,
※ 毎週金曜日｜10年ずつ8週で1巡｜ランダム順｜黄色=2周目から先取り,,,,,,,,,,
,,,,,,,,,,
グループ,年1,年2,年3,年4,年5,年6,年7,年8,年9,年10
第1週,1983年,1997年,1958年,1980年,1996年,1986年,1999年,1965年,1990年,1989年
,昭和58年,平成9年,昭和33年,昭和55年,平成8年,昭和61年,平成11年,昭和40年,平成2年,昭和64年/平成元年
第2週,1979年,2006年,2011年,2016年,2002年,1957年,2009年,1975年,2008年,1968年
,昭和54年,平成18年,平成23年,平成28年,平成14年,昭和32年,平成21年,昭和50年,平成20年,昭和43年
第3週,2014年,1969年,1970年,2005年,2000年,2022年,2007年,2015年,1992年,2001年
,平成26年,昭和44年,昭和45年,平成17年,平成12年,令和4年,平成19年,平成27年,平成4年,平成13年
第4週,1973年,1952年,1966年,2003年,1972年,2010年,1974年,1955年,1956年,1993年
,昭和48年,昭和27年,昭和41年,平成15年,昭和47年,平成22年,昭和49年,昭和30年,昭和31年,平成5年
第5週,2019年,1959年,1998年,1971年,2013年,2017年,1960年,1950年,2020年,1987年
,平成31年/令和元年,昭和34年,平成10年,昭和46年,平成25年,平成29年,昭和35年,昭和25年,令和2年,昭和62年
第6週,2021年,2012年,1976年,1984年,1994年,1991年,1995年,1962年,2023年,1951年
,令和3年,平成24年,昭和51年,昭和59年,平成6年,平成3年,平成7年,昭和37年,令和5年,昭和26年
第7週,1988年,1982年,2025年,1977年,2018年,2024年,1954年,2004年,1961年,1963年
,昭和63年,昭和57年,令和7年,昭和52年,平成30年,令和6年,昭和29年,平成16年,昭和36年,昭和38年
第8週,1967年,1978年,1981年,1985年,1953年,1964年,1983年,1997年,1958年,1980年
,昭和42年,昭和53年,昭和56年,昭和60年,昭和28年,昭和39年,昭和58年,平成9年,昭和33年,昭和55年
