生まれ年 全リスト(1950〜2025年・参照用),,
全76年｜西暦→和暦の対応表,,
,,
No,西暦,和暦
1,1950年,昭和25年
2,1951年,昭和26年
3,1952年,昭和27年
4,1953年,昭和28年
5,1954年,昭和29年
6,1955年,昭和30年
7,1956年,昭和31年
8,1957年,昭和32年
9,1958年,昭和33年
10,1959年,昭和34年
11,1960年,昭和35年
12,1961年,昭和36年
13,1962年,昭和37年
14,1963年,昭和38年
15,1964年,昭和39年
16,1965年,昭和40年
17,1966年,昭和41年
18,1967年,昭和42年
19,1968年,昭和43年
20,1969年,昭和44年
21,1970年,昭和45年
22,1971年,昭和46年
23,1972年,昭和47年
24,1973年,昭和48年
25,1974年,昭和49年
26,1975年,昭和50年
27,1976年,昭和51年
28,1977年,昭和52年
29,1978年,昭和53年
30,1979年,昭和54年
31,1980年,昭和55年
32,1981年,昭和56年
33,1982年,昭和57年
34,1983年,昭和58年
35,1984年,昭和59年
36,1985年,昭和60年
37,1986年,昭和61年
38,1987年,昭和62年
39,1988年,昭和63年
40,1989年,昭和64年/平成元年
41,1990年,平成2年
42,1991年,平成3年
43,1992年,平成4年
44,1993年,平成5年
45,1994年,平成6年
46,1995年,平成7年
47,1996年,平成8年
48,1997年,平成9年
49,1998年,平成10年
50,1999年,平成11年
51,2000年,平成12年
52,2001年,平成13年
53,2002年,平成14年
54,2003年,平成15年
55,2004年,平成16年
56,2005年,平成17年
57,2006年,平成18年
58,2007年,平成19年
59,2008年,平成20年
60,2009年,平成21年
61,2010年,平成22年
62,2011年,平成23年
63,2012年,平成24年
64,2013年,平成25年
65,2014年,平成26年
66,2015年,平成27年
67,2016年,平成28年
68,2017年,平成29年
69,2018年,平成30年
70,2019年,平成31年/令和元年
71,2020年,令和2年
72,2021年,令和3年
73,2022年,令和4年
74,2023年,令和5年
75,2024年,令和6年
76,2025年,令和7年
