配信スケジュール(週×順),,,,
金曜の占いで使う生まれ年を1行ずつ並べた表。,,,,
,,,,
週,順番,生まれ年,和暦,備考
1,1,1983年,昭和58年,
1,2,1997年,平成9年,
1,3,1958年,昭和33年,
1,4,1980年,昭和55年,
1,5,1996年,平成8年,
1,6,1986年,昭和61年,
1,7,1999年,平成11年,
1,8,1965年,昭和40年,
1,9,1990年,平成2年,
1,10,1989年,昭和64年/平成元年,
2,1,1979年,昭和54年,
2,2,2006年,平成18年,
2,3,2011年,平成23年,
2,4,2016年,平成28年,
2,5,2002年,平成14年,
2,6,1957年,昭和32年,
2,7,2009年,平成21年,
2,8,1975年,昭和50年,
2,9,2008年,平成20年,
2,10,1968年,昭和43年,
3,1,2014年,平成26年,
3,2,1969年,昭和44年,
3,3,1970年,昭和45年,
3,4,2005年,平成17年,
3,5,2000年,平成12年,
3,6,2022年,令和4年,
3,7,2007年,平成19年,
3,8,2015年,平成27年,
3,9,1992年,平成4年,
3,10,2001年,平成13年,
4,1,1973年,昭和48年,
4,2,1952年,昭和27年,
4,3,1966年,昭和41年,
4,4,2003年,平成15年,
4,5,1972年,昭和47年,
4,6,2010年,平成22年,
4,7,1974年,昭和49年,
4,8,1955年,昭和30年,
4,9,1956年,昭和31年,
4,10,1993年,平成5年,
5,1,2019年,平成31年/令和元年,
5,2,1959年,昭和34年,
5,3,1998年,平成10年,
5,4,1971年,昭和46年,
5,5,2013年,平成25年,
5,6,2017年,平成29年,
5,7,1960年,昭和35年,
5,8,1950年,昭和25年,
5,9,2020年,令和2年,
5,10,1987年,昭和62年,
6,1,2021年,令和3年,
6,2,2012年,平成24年,
6,3,1976年,昭和51年,
6,4,1984年,昭和59年,
6,5,1994年,平成6年,
6,6,1991年,平成3年,
6,7,1995年,平成7年,
6,8,1962年,昭和37年,
6,9,2023年,令和5年,
6,10,1951年,昭和26年,
7,1,1988年,昭和63年,
7,2,1982年,昭和57年,
7,3,2025年,令和7年,
7,4,1977年,昭和52年,
7,5,2018年,平成30年,
7,6,2024年,令和6年,
7,7,1954年,昭和29年,
7,8,2004年,平成16年,
7,9,1961年,昭和36年,
7,10,1963年,昭和38年,
8,1,1967年,昭和42年,
8,2,1978年,昭和53年,
8,3,1981年,昭和56年,
8,4,1985年,昭和60年,
8,5,1953年,昭和28年,
8,6,1964年,昭和39年,
8,7,1983年,昭和58年,※2周目から先取り
8,8,1997年,平成9年,※2周目から先取り
8,9,1958年,昭和33年,※2周目から先取り
8,10,1980年,昭和55年,※2周目から先取り
