豊川市 町名 全リスト(五十音順｜参照用),,
全154町｜出典:豊川市物件一覧.xlsx,,
,,
No,町名,ヨミカタ
1,赤坂台,アカサカダイ
2,赤坂町,アカサカチョウ
3,赤代町,アカシロチョウ
4,明野町,アケノチョウ
5,曙町,アケボノチョウ
6,旭町,アサヒマチ
7,足山田町,アシヤマダチョウ
8,麻生田町,アソウダチョウ
9,市田町,イチダチョウ
10,一宮町,イチノミヤチョウ
11,伊奈町,イナチョウ
12,稲荷通,イナリドオリ
13,院之子町,インノコチョウ
14,上野,ウエノ
15,牛久保駅通,ウシクボエキドオリ
16,牛久保町,ウシクボチョウ
17,駅前通,エキマエドオリ
18,江島町,エジマチョウ
19,大木新町通,オオギシンマチドオリ
20,大木町,オオギチョウ
21,大崎町,オオサキチョウ
22,大橋町,オオハシチョウ
23,大堀町,オオボリチョウ
24,小田渕町,オダブチチョウ
25,開運通,カイウンドオリ
26,金沢町,カナザワチョウ
27,金塚町,カナヅカチョウ
28,金屋町,カナヤチョウ
29,金屋西町,カナヤニシマチ
30,金屋橋町,カナヤバシチョウ
31,金屋本町,カナヤホンマチ
32,金屋元町,カナヤモトマチ
33,上長山町,カミナガヤマチョウ
34,川花町,カワハナチョウ
35,北浦町,キタウラチョウ
36,行明町,ギョウメイチョウ
37,久保町,クボチョウ
38,光輝町,コウキチョウ
39,柑子町,コウジチョウ
40,国府町,コウチョウ
41,国府南,コウミナミ
42,光明町,コウメイチョウ
43,光陽町,コウヨウチョウ
44,小坂井町,コザカイチョウ
45,小桜町,コザクラチョウ
46,寿通,コトブキドオリ
47,御油町,ゴユチョウ
48,幸町,サイワイチョウ
49,堺町,サカイマチ
50,桜ケ丘町,サクラガオカチョウ
51,桜木通,サクラギドオリ
52,桜町,サクラマチ
53,佐土町,サドチョウ
54,佐奈川町,サナガワチョウ
55,三蔵子町,サンゾウゴチョウ
56,財賀町,ザイカチョウ
57,篠田町,シノダチョウ
58,篠束町,シノヅカチョウ
59,下長山町,シモナガヤマチョウ
60,下野川町,シモノガワチョウ
61,宿町,シュクチョウ
62,白雲町,シラクモチョウ
63,白鳥,シロトリ
64,白鳥町,シロトリチョウ
65,新青馬町,シンアオウマチョウ
66,新栄町,シンサカエマチ
67,新桜町通,シンサクラマチドオリ
68,新宿町,シンジュクチョウ
69,新道町,シンミチチョウ
70,新豊町,シンユタカマチ
71,末広通,スエヒロドオリ
72,住吉町,スミヨシチョウ
73,諏訪,スワ
74,諏訪西町,スワニシマチ
75,瀬木町,セギチョウ
76,蔵子,ゾウシ
77,高見町,タカミチョウ
78,為当町,タメトウチョウ
79,樽井町,タルイチョウ
80,代田町,ダイダチョウ
81,千両町,チギリチョウ
82,千歳通,チトセドオリ
83,中央通,チュウオウドオリ
84,中条町,チュウジョウチョウ
85,中部町,チュウブチョウ
86,天神町,テンジンチョウ
87,東光町,トウコウチョウ
88,当古町,トウゴチョウ
89,東新町,トウシンチョウ
90,東上町,トウジョウチョウ
91,塔ノ木町,トウノギチョウ
92,東名町,トウメイチョウ
93,豊川栄町,トヨカワサカエマチ
94,豊川町,トヨカワチョウ
95,豊川仲町,トヨカワナカマチ
96,豊川西町,トヨカワニシマチ
97,豊川元町,トヨカワモトマチ
98,豊津町,トヨツチョウ
99,土筒町,ドドウチョウ
100,中野川町,ナカノガワチョウ
101,長草町,ナガクサチョウ
102,長沢町,ナガサワチョウ
103,西口町,ニシグチチョウ
104,西香ノ木町,ニシコウノギチョウ
105,西桜木町,ニシサクラギチョウ
106,西島町,ニシジマチョウ
107,西塚町,ニシヅカチョウ
108,西原町,ニシバラチョウ
109,西本町,ニシホンマチ
110,西豊町,ニシユタカマチ
111,野口町,ノグチチョウ
112,萩町,ハギチョウ
113,萩山町,ハギヤマチョウ
114,橋尾町,ハシオチョウ
115,花井町,ハナイチョウ
116,馬場町,ババチョウ
117,東曙町,ヒガシアケボノチョウ
118,東桜木町,ヒガシサクラギチョウ
119,東豊町,ヒガシユタカマチ
120,平井町,ヒライチョウ
121,平尾町,ヒラオチョウ
122,二葉町,フタバチョウ
123,二見町,フタミチョウ
124,古宿町,フルジュクチョウ
125,豊栄町,ホウエイチョウ
126,穂ノ原,ホノハラ
127,本野ケ原,ホンノガハラ
128,本野町,ホンノチョウ
129,牧野町,マキノチョウ
130,正岡町,マサオカチョウ
131,松風町,マツカゼチョウ
132,松原町,マツバラチョウ
133,松久町,マツヒサチョウ
134,三上町,ミカミチョウ
135,美園,ミソノ
136,御津町,ミトチョウ
137,緑町,ミドリマチ
138,南大通,ミナミオオドオリ
139,南千両,ミナミチギリ
140,三谷原町,ミヤハラチョウ
141,美幸町,ミユキチョウ
142,美和通,ミワドオリ
143,向河原町,ムコウガワラチョウ
144,森,モリ
145,門前町,モンゼンチョウ
146,谷川町,ヤガワチョウ
147,山道町,ヤマミチチョウ
148,弥生町,ヤヨイチョウ
149,八幡町,ヤワタチョウ
150,豊が丘町,ユタカガオカチョウ
151,四ツ谷町,ヨツヤチョウ
152,六角町,ロッカクチョウ
153,若鳩町,ワカバトチョウ
154,若宮町,ワカミヤチョウ
