,⚠️ 2周目以降の運用ルール ⚠️,
,将来この表を再生成するときの手順｜忘れないように!,
,,
,【1周目の仕様】,内容
,全町数,154町(豊川市物件一覧.xlsxのデータシートから抽出)
,並び順,ランダムシャッフル(乱数シード=42)
,週構成,第1〜15週は10町ずつ、第16週は残り4町+2周目から先取り6町
,先取り6町,シャッフル後の先頭6町(第16週で黄色マーク済み)
,,
,【2周目の作り方】,手順
,STEP 1,対象町を確定:154町から「先取り6町」を除いた残り148町が2周目の対象。
,STEP 2,再シャッフル:1周目とは違う乱数シード(例:99)で148町をシャッフル。
,STEP 3,週割り:第1〜14週は10町ずつ、第15週は残り8町+3周目から先取り2町。
,STEP 4,配置確認:1周目の最後の方に登場した町が2周目の頭にこないかチェック(連続回避)。
,STEP 5,Excel更新:このファイルに「2周目スケジュール」シートを追加。
,,
,【いつ作る?】,タイミング
,目安,1周目の第14週に入ったら2周目を準備開始(=第16週の2週前)。
,依頼方法,Claude(claude.ai または Claude Code)に「ラッキータウンの2周目を作って。このExcelの運用ルールに従って」と依頼すればOK。
,,
,⚠️ 注意,2周目を作るときは、1周目で「先取り6町」がどれだったかを必ず確認すること。これらは2周目の対象外。配信スケジュールシートで黄色マーク=該当町。
